Title,Genre,Cast,Language,Year,Rating
Inception,Sci-Fi,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",English,2010,8.8
Interstellar,Sci-Fi,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",English,2014,8.7
The Dark Knight,Action,"Christian Bale,Heath Ledger",English,2008,9.0
Avengers: Endgame,Action,"Robert Downey Jr.,Chris Evans,Scarlett Johansson",English,2019,8.4
Titanic,Romance,"Leonardo DiCaprio,Kate Winslet",English,1997,7.9
The Notebook,Romance,"Ryan Gosling,Rachel McAdams",English,2004,7.8
Frozen,Animation,"Kristen Bell,Idina Menzel",English,2013,7.4
Finding Nemo,Animation,"Albert Brooks,Ellen DeGeneres",English,2003,8.2
Joker,Drama,"Joaquin Phoenix,Zazie Beetz",English,2019,8.4
The Lion King,Animation,"Donald Glover,Beyonce",English,2019,6.8
3 Idiots,Comedy,"Aamir Khan,Kareena Kapoor,R. Madhavan",Hindi,2009,8.4
Dangal,Drama,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",Hindi,2016,8.3
PK,Comedy,"Aamir Khan,Anushka Sharma",Hindi,2014,8.1
Shershaah,Action,"Sidharth Malhotra,Kiara Advani",Hindi,2021,8.4
Kabir Singh,Romance,"Shahid Kapoor,Kiara Advani",Hindi,2019,7.0
Bajrangi Bhaijaan,Drama,"Salman Khan,Kareena Kapoor",Hindi,2015,8.1
War,Action,"Hrithik Roshan,Tiger Shroff",Hindi,2019,6.5
Pathaan,Action,"Shah Rukh Khan,Deepika Padukone",Hindi,2023,6.6
Jawan,Action,"Shah Rukh Khan,Nayanthara",Hindi,2023,7.0
Zindagi Na Milegi Dobara,Comedy,"Hrithik Roshan,Katrina Kaif,Farhan Akhtar",Hindi,2011,8.2
Baahubali: The Beginning,Action,"Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah",Telugu,2015,8.0
Baahubali 2,Action,"Prabhas,Anushka Shetty,Rana Daggubati",Telugu,2017,8.2
RRR,Action,"Ram Charan,NTR,Alia Bhatt",Telugu,2022,7.8
Pushpa,Action,"Allu Arjun,Rashmika Mandanna",Telugu,2021,7.6
Pushpa 2,Action,"Allu Arjun,Rashmika Mandanna",Telugu,2024,8.1
Ala Vaikunthapurramuloo,Comedy,"Allu Arjun,Pooja Hegde",Telugu,2020,7.3
Race Gurram,Comedy,"Allu Arjun,Shruti Haasan",Telugu,2014,7.3
Julayi,Action,"Allu Arjun,Ileana D'Cruz",Telugu,2012,7.2
Arya,Romance,"Allu Arjun,Anu Mehta",Telugu,2004,7.8
Parugu,Romance,"Allu Arjun,Sheela Kaur",Telugu,2008,7.1
Magadheera,Action,"Ram Charan,Kajal Aggarwal",Telugu,2009,7.7
Rangasthalam,Drama,"Ram Charan,Samantha Ruth Prabhu",Telugu,2018,8.2
Orange,Romance,"Ram Charan,Genelia D'Souza",Telugu,2010,6.6
Game Changer,Action,"Ram Charan,Kiara Advani",Telugu,2025,6.5
Jersey,Drama,"Nani,Shraddha Srinath",Telugu,2019,8.5
Hi Nanna,Romance,"Nani,Mrunal Thakur",Telugu,2023,8.2
Eega,Fantasy,"Nani,Samantha Ruth Prabhu",Telugu,2012,7.7
Dasara,Action,"Nani,Keerthy Suresh",Telugu,2023,6.7
Maharshi,Drama,"Mahesh Babu,Pooja Hegde",Telugu,2019,7.2
Srimanthudu,Drama,"Mahesh Babu,Shruti Haasan",Telugu,2015,7.5
Pokiri,Action,"Mahesh Babu,Ileana D'Cruz",Telugu,2006,8.0
Athadu,Action,"Mahesh Babu,Trisha Krishnan",Telugu,2005,8.2
Businessman,Action,"Mahesh Babu,Kajal Aggarwal",Telugu,2012,7.2
Sarkaru Vaari Paata,Action,"Mahesh Babu,Keerthy Suresh",Telugu,2022,5.6
Arundhati,Horror,"Anushka Shetty,Sonu Sood",Telugu,2009,7.8
Chatrapathi,Action,"Prabhas,Shriya Saran",Telugu,2005,7.6
Darling,Romance,"Prabhas,Kajal Aggarwal",Telugu,2010,7.4
Mr. Perfect,Romance,"Prabhas,Kajal Aggarwal,Taapsee Pannu",Telugu,2011,7.2
Mirchi,Action,"Prabhas,Anushka Shetty,Richa Gangopadhyay",Telugu,2013,7.8
Billa,Action,"Prabhas,Anushka Shetty,Namitha",Telugu,2009,6.8
Radhe Shyam,Romance,"Prabhas,Pooja Hegde",Telugu,2022,5.3
Salaar: Part 1 – Ceasefire,Action,"Prabhas,Prithviraj Sukumaran,Shruti Haasan",Telugu,2023,6.7
Adipurush,Fantasy,"Prabhas,Kriti Sanon,Saif Ali Khan",Telugu,2023,4.7
Ek Niranjan,Action,"Prabhas,Kangana Ranaut",Telugu,2009,7.0
Yogi,Action,"Prabhas,Nayanthara",Telugu,2007,6.4
Munna,Action,"Prabhas,Ileana D'Cruz",Telugu,2007,6.0
Varsham,Romance,"Prabhas,Trisha Krishnan",Telugu,2004,7.2
Rebel,Action,"Prabhas,Tamannaah,Deeksha Seth",Telugu,2012,4.8
Kalki 2898 AD,Sci-Fi,"Prabhas,Deepika Padukone,Amitabh Bachchan",Telugu,2024,7.2
Indra,Action,"Chiranjeevi,Sonali Bendre,Aarthi Agarwal",Telugu,2002,7.5
Tagore,Action,"Chiranjeevi,Shriya Saran,Jyothika",Telugu,2003,7.8
Stalin,Action,"Chiranjeevi,Trisha Krishnan",Telugu,2006,7.1
Khaidi No.150,Action,"Chiranjeevi,Kajal Aggarwal",Telugu,2017,6.1
Sye Raa Narasimha Reddy,Historical,"Chiranjeevi,Nayanthara,Tamannaah",Telugu,2019,7.2
GodFather,Action,"Chiranjeevi,Nayanthara,Salman Khan",Telugu,2022,5.8
Waltair Veerayya,Action,"Chiranjeevi,Ravi Teja,Shruti Haasan",Telugu,2023,6.3
Acharya,Action,"Chiranjeevi,Ram Charan,Kajal Aggarwal",Telugu,2022,3.8
Shankar Dada MBBS,Comedy,"Chiranjeevi,Sonali Bendre",Telugu,2004,7.0
Shankar Dada Zindabad,Comedy,"Chiranjeevi,Karishma Kotak",Telugu,2007,5.4
Manam,Drama,"Akkineni Nagarjuna,Naga Chaitanya,Samantha",Telugu,2014,8.0
Oopiri,Drama,"Nagarjuna,Karthi,Tamannaah",Telugu,2016,8.0
Soggade Chinni Nayana,Family,"Nagarjuna,Ramya Krishnan,Lavanya Tripathi",Telugu,2016,7.4
Bangarraju,Family,"Nagarjuna,Naga Chaitanya,Krithi Shetty",Telugu,2022,5.8
Ninne Pelladata,Romance,"Nagarjuna,Tabu",Telugu,1996,8.3
Hello Brother,Comedy,"Nagarjuna,Ramya Krishnan,Soundarya",Telugu,1994,7.4
King,Comedy,"Nagarjuna,Trisha Krishnan,Mamta Mohandas",Telugu,2008,6.3
Mass,Action,"Nagarjuna,Jyothika,Charmy Kaur",Telugu,2004,6.9
Nenunnanu,Drama,"Nagarjuna,Shriya Saran,Aarthi Agarwal",Telugu,2004,7.4
Greeku Veerudu,Romance,"Nagarjuna,Nayanthara",Telugu,2013,5.2
Wild Dog,Action,"Nagarjuna,Saiyami Kher",Telugu,2021,6.6
Agent Sai Srinivasa Athreya,Thriller,"Naveen Polishetty,Shruti Sharma",Telugu,2019,8.3
Jathi Ratnalu,Comedy,"Naveen Polishetty,Priyadarshi,Rahul Ramakrishna",Telugu,2021,7.3
Miss Shetty Mr Polishetty,Romance,"Naveen Polishetty,Anushka Shetty",Telugu,2023,7.0
MAD,Comedy,"Narne Nithiin,Sangeeth Shobhan,Ram Nithin",Telugu,2023,7.4
DJ Tillu,Comedy,"Siddhu Jonnalagadda,Neha Shetty",Telugu,2022,7.2
Tillu Square,Comedy,"Siddhu Jonnalagadda,Anupama Parameswaran",Telugu,2024,7.1
Mathu Vadalara,Comedy,"Sri Simha Koduri,Naresh Agastya",Telugu,2019,7.3
Brochevarevarura,Comedy,"Sree Vishnu,Nivetha Thomas,Nivetha Pethuraj",Telugu,2019,8.0
HIT: The First Case,Thriller,"Vishwak Sen,Ruhani Sharma",Telugu,2020,7.7
